PLAYER_ID,FGA,season
203477,125.0,2017-18
203481,15.0,2017-18
203482,629.0,2017-18
203484,766.0,2017-18
203485,43.0,2017-18
203486,338.0,2017-18
203487,219.0,2017-18
203488,302.0,2017-18
203489,5.0,2017-18
203490,901.0,2017-18
203493,514.0,2017-18
203496,867.0,2017-18
203497,464.0,2017-18
203498,191.0,2017-18
203499,228.0,2017-18
203500,691.0,2017-18
203501,804.0,2017-18
203503,422.0,2017-18
203504,374.0,2017-18
203505,5.0,2017-18
203506,1370.0,2017-18
203507,1406.0,2017-18
203512,76.0,2017-18
203516,360.0,2017-18
203518,290.0,2017-18
203521,154.0,2017-18
203524,60.0,2017-18
203526,155.0,2017-18
203530,171.0,2017-18
203546,522.0,2017-18
203580,24.0,2017-18
203584,559.0,2017-18
203585,74.0,2017-18
203613,702.0,2017-18
203687,2.0,2017-18
203705,43.0,2017-18
203710,186.0,2017-18
203816,1.0,2017-18
203894,508.0,2017-18
203897,312.0,2017-18
203898,201.0,2017-18
203900,7.0,2017-18
203901,612.0,2017-18
203903,1017.0,2017-18
203914,857.0,2017-18
203915,768.0,2017-18
203917,149.0,2017-18
203918,814.0,2017-18
203920,117.0,2017-18
203922,81.0,2017-18
203923,14.0,2017-18
203924,434.0,2017-18
203925,568.0,2017-18
203926,473.0,2017-18
203930,277.0,2017-18
203932,815.0,2017-18
203933,1009.0,2017-18
203935,610.0,2017-18
203937,425.0,2017-18
203939,404.0,2017-18
203940,10.0,2017-18
203943,207.0,2017-18
203944,788.0,2017-18
203948,164.0,2017-18
203949,7.0,2017-18
203952,1301.0,2017-18
203953,369.0,2017-18
203954,1091.0,2017-18
203957,121.0,2017-18
203960,75.0,2017-18
203961,112.0,2017-18
203962,172.0,2017-18
203966,79.0,2017-18
203967,944.0,2017-18
203991,745.0,2017-18
203992,736.0,2017-18
203994,911.0,2017-18
203998,30.0,2017-18
203999,951.0,2017-18
204001,846.0,2017-18
204020,685.0,2017-18
204022,22.0,2017-18
204025,158.0,2017-18
204028,120.0,2017-18
204037,66.0,2017-18
204038,331.0,2017-18
204060,813.0,2017-18
204065,6.0,2017-18
204066,57.0,2017-18
204067,2.0,2017-18
204098,6.0,2017-18
204179,20.0,2017-18
204456,417.0,2017-18
1626143,124.0,2017-18
1626144,474.0,2017-18
1626145,315.0,2017-18
1626147,194.0,2017-18
1626148,1.0,2017-18
1626149,502.0,2017-18
1626150,400.0,2017-18
1626151,69.0,2017-18
1626153,471.0,2017-18
1626154,20.0,2017-18
1626155,240.0,2017-18
1626156,649.0,2017-18
